127.0.0.1 - - [07/Apr/2021:15:24:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:40 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:40 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:40 +0900] "GET /ITBiz/user/login;jsessionid=0BC09E45EE9C9FE5F4C68BBC19CABE3D HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:40 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:40 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/main HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84152
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83597
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/js/demo/chart-pie-demo.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:46 +0900] "GET /ITBiz/static/main/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:47 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:49 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 53860
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:51 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:51 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=15&search_type=1 HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:51 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=15 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:51 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=15 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:52 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:52 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:55 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:55 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:57 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:57 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:58 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:24:59 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [07/Apr/2021:15:25:03 +0900] "POST /ITBiz/biz/weeklyReportPOP HTTP/1.1" 200 6373
