127.0.0.1 - - [17/Mar/2021:14:54:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/user/login;jsessionid=4FF1C339A7D55043E767D98B04ECBD20 HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/css/main.css HTTP/1.1" 200 8083
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/static/login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:16:24:15 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
