127.0.0.1 - - [13/May/2021:08:40:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/May/2021:08:40:57 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:08:40:58 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:08:40:58 +0900] "GET /ITBiz/user/login;jsessionid=A9AC414135BB777805A52315E01F22D8 HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [13/May/2021:08:40:58 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:08:40:58 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:04 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:04 +0900] "GET /ITBiz/main HTTP/1.1" 200 35897
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:05 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:09 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 48818
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:11 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:13 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:17 +0900] "POST /ITBiz/biz/getBizDailyList HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:18 +0900] "POST /ITBiz/biz/getBizDailySubAll HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [13/May/2021:08:41:22 +0900] "POST /ITBiz/biz/getITUserInfoFromCheck HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [13/May/2021:08:44:11 +0900] "GET /ITBiz/biz/dailyRgst HTTP/1.1" 200 48818
