127.0.0.1 - - [16/Apr/2021:08:54:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:54:27 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:54:27 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:54:27 +0900] "GET /ITBiz/user/login;jsessionid=B05AD3948FFA000E1872FCB7E48D3BFF HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:54:28 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:54:28 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:14 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:14 +0900] "GET /ITBiz/main HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:14 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:17 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 53860
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:18 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:18 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=16&search_type=1 HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:19 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [16/Apr/2021:08:56:19 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:06:18 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:06:33 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:43 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 53860
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:45 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:45 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=16&search_type=1 HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:45 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:45 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:46 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:09:47 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:05:57 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:05:57 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:05:59 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:05:59 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=16&search_type=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:01 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:02 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:05 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:05 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:06 +0900] "GET /ITBiz/user/login HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:06 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:06 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:09 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:09 +0900] "GET /ITBiz/main HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:09 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:12 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 53860
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:13 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:13 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=16 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:13 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=16&search_type=1 HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:13 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:14 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:06:21 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Apr/2021:11:31:09 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
